FIPS_Code,Unemployed_2019
13043,170
13045,"1,989"
13047,"1,036"
13049,190
13051,"4,766"
13053,94
13055,532
13057,"3,883"
13059,"2,194"
13061,62
13063,"6,047"
13065,106
13067,"13,062"
13069,760
13071,698
13073,"2,375"
13075,280
13077,"2,292"
13079,209
13081,379
13083,274
13085,371
13087,449
13089,"14,164"
13091,391
13093,195
13095,"1,785"
13097,"2,678"
13099,175
13101,54
13103,937
13105,315
13107,456
13109,170
13111,394
13113,"1,794"
13115,"1,752"
13117,"3,543"
13119,366
13121,"20,179"
13123,433
13125,48
13127,"1,350"
13129,990
13131,367
13133,287
13135,"15,367"
13137,678
13139,"2,966"
13141,143
13143,433
13145,531
13147,414
13149,178
13151,"4,280"
13153,"2,443"
13155,160
13157,"1,037"
13159,224
13161,288
13163,322
13165,166
13167,152
13169,449
13171,327
13173,154
13175,909
13177,467
13179,"1,005"
13181,140
13183,313
13185,"1,870"
13187,552
13189,463
13191,226
13193,221
13195,423
13197,143
13199,414
13201,93
13205,393
13207,436
13209,205
13211,301
13213,813
13215,"3,650"
13217,"2,104"
13219,523
13221,232
13223,"2,648"
13225,499
13227,480
13229,304
13231,280
13233,692
13235,161
13237,370
13239,42
13241,264
13243,125
13245,"3,988"
13247,"1,754"
13249,88
13251,285
13253,135
13255,"1,186"
13257,419
13259,109
13261,625
13263,128
13265,28
13267,378
13269,128
13271,405
13273,182
13275,683
13277,685
13279,596
13281,195
13283,144
13285,"1,228"
13287,124
13289,162
13291,334
13293,415
13295,"1,153"
13297,"1,466"
13299,585
13301,134
13303,300
13305,473
13307,51
13309,124
13311,457
13313,"2,002"
13315,121
13317,179
13319,155
13321,356
15000,"16,423"
15001,"2,868"
15003,"10,585"
15007,895
15009,"2,076"
16000,"24,319"
16001,"6,064"
16003,111
16005,"1,139"
16007,82
16009,203
16011,599
16013,307
16015,143
16017,792
16019,"1,295"
16021,227
16023,34
16025,18
16027,"3,186"
16029,104
16031,279
16033,13
16035,186
16037,88
16039,358
16041,156
16043,171
16045,261
16047,203
16049,281
16051,308
16053,301
16055,"2,703"
16057,516
16059,159
16061,85
16063,90
16065,381
16067,272
